iter	Passed	Remaining
401	59193	88054
402	59434	88045
403	59751	88148
404	59982	88122
405	60244	88140
406	60483	88125
407	60725	88111
408	60978	88113
409	61222	88100
410	61454	88070
411	61774	88163
412	61914	87999
413	62122	87932
414	62439	88017
415	62574	87845
416	62973	88042
417	63382	88249
418	63625	88225
419	63969	88338
420	64278	88402
421	64596	88475
422	64830	88433
423	65093	88428
424	65311	88363
425	65560	88337
426	65688	88149
427	65895	88065
428	66186	88093
429	66458	88096
430	66699	88056
431	67355	88560
432	67565	88475
433	67854	88491
434	68107	88461
435	68330	88390
436	68497	88246
437	68919	88431
438	69202	88433
439	69448	88389
440	69625	88255
441	69806	88126
442	70094	88131
443	70230	87946
444	70407	87811
445	70573	87662
446	70772	87555
447	70941	87410
448	71119	87275
449	71277	87117
450	71466	86996
451	71640	86856
452	71821	86724
453	71981	86567
454	72184	86463
455	72338	86298
456	72543	86195
457	72653	85978
458	72808	85816
459	72987	85680
460	73188	85572
461	73410	85486
462	73606	85371
463	73781	85230
464	73975	85112
465	74141	84960
466	74269	84765
467	74434	84613
468	74610	84473
469	74865	84423
470	75181	84439
471	75372	84314
472	75615	84248
473	75779	84093
474	75975	83973
475	76291	83984
476	76557	83940
477	76744	83808
478	76975	83724
479	77129	83556
480	77279	83385
481	77423	83206
482	77569	83030
483	77708	82845
484	77907	82726
485	78081	82579
486	78227	82403
487	78454	82313
488	78845	82393
489	79104	82333
490	79363	82272
491	79484	82069
492	79692	81956
493	79839	81778
494	80021	81637
495	80203	81497
496	80378	81348
497	80534	81181
498	80709	81033
499	80924	80924
500	81089	80766
501	81296	80648
502	81511	80539
503	81773	80475
504	81936	80314
505	82097	80150
506	82262	79991
507	82399	79803
508	82631	79708
509	82815	79567
510	82956	79385
511	83150	79252
512	83301	79079
513	83485	78937
514	83720	78843
515	83883	78681
516	84000	78476
517	84276	78419
518	84423	78241
519	84649	78137
520	84837	77998
521	85012	77846
522	85187	77695
523	85355	77537
524	85522	77377
525	85681	77211
526	85871	77072
527	86052	76925
528	86236	76781
529	86454	76667
530	86655	76537
531	86822	76377
532	86975	76205
533	87136	76040
534	87305	75882
535	87475	75724
536	87646	75568
537	87826	75420
538	88085	75338
539	88286	75207
540	88442	75037
541	88571	74844
542	88758	74700
543	88887	74508
544	89123	74405
545	89305	74257
546	89478	74102
547	89634	73931
548	89821	73787
549	90000	73636
550	90176	73483
551	90347	73325
552	90515	73165
553	90767	73072
554	90932	72909
555	91128	72771
556	91295	72610
557	91472	72456
558	91643	72298
559	91831	72153
560	92022	72010
561	92190	71849
562	92315	71655
563	92467	71482
564	92627	71315
565	92814	71168
566	93029	71043
567	93214	70895
568	93386	70737
569	93577	70593
570	93726	70418
571	93883	70248
572	94063	70096
573	94223	69929
574	94402	69775
575	94677	69692
576	95006	69649
577	95183	69493
578	95321	69309
579	95498	69153
580	95674	68997
581	95845	68837
582	96010	68673
583	96179	68511
584	96358	68357
585	96520	68190
586	96690	68029
587	96879	67881
588	97107	67760
589	97258	67586
590	97405	67409
591	97577	67249
592	97760	67096
593	97989	66975
594	98169	66821
595	98356	66671
596	98519	66504
597	98701	66351
598	99030	66295
599	99224	66149
600	99382	65979
601	99543	65811
602	99684	65629
603	99863	65473
604	100045	65319
605	100217	65157
606	100404	65006
607	100602	64862
608	100787	64709
609	101044	64602
610	101245	64459
611	101439	64311
612	101606	64146
613	101768	63978
614	101956	63826
615	102139	63671
616	102306	63506
617	102455	63330
618	102624	63166
619	102798	63005
620	102990	62855
621	103167	62696
622	103337	62533
623	103503	62367
624	103681	62209
625	103846	62042
626	104009	61874
627	104166	61703
628	104448	61606
629	104631	61450
630	104811	61292
631	104976	61125
632	105151	60964
633	105333	60807
634	105510	60647
635	105678	60482
636	105787	60283
637	105930	60104
638	106105	59943
639	106283	59784
640	106480	59635
641	106627	59459
642	106813	59303
643	106997	59147
644	107196	58999
645	107394	58850
646	107647	58732
647	107885	58604
648	108044	58433
649	108284	58306
650	108470	58150
651	108652	57992
652	108835	57834
653	109125	57732
654	109340	57591
655	109540	57441
656	109724	57283
657	109903	57123
658	110082	56962
659	110487	56918
660	110579	56711
661	110667	56503
662	110785	56311
663	110885	56110
664	110994	55914
665	111108	55720
666	111187	55510
667	111269	55301
668	111353	55094
669	111463	54899
670	111597	54717
671	111792	54565
672	112252	54541
673	112593	54459
674	113157	54483
675	113499	54399
676	113767	54278
677	114021	54151
678	114725	54236
679	115357	54285
680	115408	54060
681	115450	53831
682	115491	53602
683	115528	53372
684	115578	53149
685	115614	52919
686	115649	52690
687	115683	52461
688	115717	52232
689	115751	52004
690	115787	51777
691	115821	51550
692	115851	51322
693	115883	51095
694	115916	50869
695	115949	50644
696	115981	50419
697	116014	50195
698	116048	49972
699	116083	49749
700	116117	49527
701	116148	49305
702	116179	49082
703	116214	48863
704	116250	48643
705	116283	48423
706	116312	48202
707	116341	47982
708	116373	47763
709	116403	47545
710	116435	47327
711	116470	47111
712	116500	46894
713	116532	46678
714	116563	46462
715	116592	46246
716	116629	46033
717	116668	45822
718	116704	45610
719	116734	45396
720	116762	45182
721	116792	44969
722	116821	44757
723	116853	44546
724	116881	44334
725	116911	44123
726	116940	43913
727	116970	43703
728	116998	43493
729	117025	43283
730	117055	43075
731	117085	42867
732	117115	42659
733	117146	42453
734	117175	42246
735	117204	42040
736	117232	41834
737	117259	41628
738	117287	41423
739	117318	41220
740	117348	41016
741	117379	40814
742	117411	40611
743	117444	40410
744	117474	40209
745	117504	40008
746	117536	39808
747	117566	39607
748	117594	39407
749	117624	39208
750	117655	39009
751	117686	38811
